Specimen	Cluster 1	Cluster 2	Cluster 3
NA4	0.007	0.989666667	0.003333333
NA5	0.005	0.991	0.004333333
NA6	0.949666667	0.042666667	0.008666667
NA7	0.131	0.855333333	0.013333333
NA8	0.049333333	0.943333333	0.007666667
NA9	0.067666667	0.928333333	0.003666667
NA10	0.971333333	0.026	0.002333333
NA11	0.969333333	0.003	0.027333333
GE1	0.086666667	0.901666667	0.012
GE2	0.008333333	0.989333333	0.001666667
GE3	0.004	0.988666667	0.007333333
GE4	0.020333333	0.97	0.010333333
GE5	0.002333333	0.995333333	0.002333333
GE6	0.001333333	0.996333333	0.002333333
GE7	0.001333333	0.992	0.006
GE8	0.001	0.998	0.001
GE9	0.004	0.898666667	0.097
GE10	0.001333333	0.997333333	0.001333333
GE11	0.002	0.996333333	0.002333333
GE12	0.008666667	0.919	0.072333333
GE13	0.001333333	0.997333333	0.001666667
GE14	0.002	0.995333333	0.002333333
GE15	0.003	0.994666667	0.002333333
GE16	0.001	0.997333333	0.001666667
GE17	0.029	0.967	0.003333333
GE18	0.025	0.901666667	0.073333333
GE19	0.924333333	0.072333333	0.004
GE20	0.078666667	0.903666667	0.017
GE21	0.001333333	0.996333333	0.002666667
GE22	0.035333333	0.957333333	0.007333333
GE23	0.001	0.998	0.001666667
GE24	0.003666667	0.934666667	0.061666667
GE25	0.013333333	0.972	0.014333333
GE26	0.003	0.994666667	0.002333333
GE27	0.002666667	0.968333333	0.028333333
GE28	0.026	0.867	0.107
GE29	0.002333333	0.994666667	0.002666667
GEOJE1	0.041666667	0.952	0.006333333
GEOJE2	0.001	0.998	0.000666667
GEOJE3	0.008333333	0.989	0.002666667
GEOJE4	0.001333333	0.997	0.001666667
GEOJE5	0.014	0.979	0.007
GEOJE6	0.011333333	0.985	0.004333333
GEOJE7	0.002	0.994	0.004
GEOJE8	0.007	0.986333333	0.006666667
GEOJE9	0.005333333	0.99	0.005
GEOJE10	0.011	0.974	0.014333333
GEOJE11	0.003	0.985666667	0.011333333
GEOJE12	0.001	0.998	0.000666667
GEOJE13	0.003	0.995333333	0.001666667
GEOJE14	0.004333333	0.990666667	0.005
GEOJE15	0.008	0.983666667	0.008333333
GEOJE16	0.991333333	0.005666667	0.003666667
GEOJE17	0.022	0.974	0.003333333
GEOJE18	0.003333333	0.994333333	0.002333333
GEOJE19	0.002	0.996333333	0.002333333
GEOJE20	0.003333333	0.995	0.001666667
GEOJE21	0.001333333	0.997333333	0.001666667
GEOJE22	0.001333333	0.997333333	0.001666667
JinBay1	0.019333333	0.83	0.150666667
JinBay2	0.011	0.943	0.046
JinBay3	0.002	0.994333333	0.003333333
JinBay4	0.001	0.997333333	0.001666667
JinBay5	0.006666667	0.989	0.004333333
JinBay6	0.024666667	0.894	0.081333333
JinBay7	0.004666667	0.992	0.004
JinBay8	0.001	0.998	0.001333333
JinBay9	0.001333333	0.994666667	0.003333333
JinBay10	0.013666667	0.966666667	0.020333333
JinBay11	0.001333333	0.996333333	0.001666667
JinBay12	0.004	0.989666667	0.006
JinBay13	0.006333333	0.977	0.016333333
JinBay14	0.003	0.994666667	0.002333333
JinBay15	0.069666667	0.922333333	0.008333333
JinBay16	0.012333333	0.961333333	0.026333333
JinBay17	0.031	0.943333333	0.026
JinBay18	0.020666667	0.934666667	0.044333333
JinBay19	0.001	0.997333333	0.001666667
JinBay20	0.002	0.995666667	0.002333333
JinBay21	0.001	0.997333333	0.001333333
JinBay22	0.001	0.997333333	0.001666667
JinBay23	0.000333333	0.998	0.001666667
JinBay24	0.001333333	0.996333333	0.002333333
JinBay25	0.020333333	0.962	0.017666667
JinBay26	0.004333333	0.986	0.01
JinBay27	0.006333333	0.965333333	0.028333333
JinBay28	0.004	0.991666667	0.004333333
JinBay29	0.002	0.994666667	0.003333333
JinBay30	0.003	0.953	0.043666667
JinBay31	0.011	0.980666667	0.008666667
JinBay32	0.001	0.998	0.001666667
JinBay33	0.001333333	0.997	0.001666667
JinBay34	0.071666667	0.863333333	0.065
JinBayL1	0.032333333	0.964333333	0.003
JinBayL2	0.068	0.900333333	0.031666667
JinBayL3	0.001	0.998	0.000666667
JinBayL4	0.052	0.939666667	0.008333333
JinBayL5	0.002	0.996333333	0.001666667
JinBayL6	0.011	0.923666667	0.066
JinBayL7	0.003333333	0.993333333	0.003333333
JinBayL8	0.046333333	0.924666667	0.029
JinBayL9	0.019	0.973333333	0.007
JinBayL10	0.001333333	0.997333333	0.001666667
JinBayL11	0.103666667	0.867666667	0.028666667
JinBayL12	0.001333333	0.997333333	0.001666667
JinBayL13	0.008333333	0.747	0.244666667
JinBayL14	0.004666667	0.979333333	0.015333333
JinBayL15	0.005666667	0.99	0.004333333
JinBayL16	0.006	0.902	0.091666667
JinBayL17	0.04	0.931333333	0.028666667
JinBayL18	0.004333333	0.992333333	0.003333333
JinBayL19	0.114	0.878666667	0.007333333
JinBayL20	0.005333333	0.987666667	0.006
JinBayL21	0.031	0.903333333	0.065666667
JinBayL22	0.004	0.993666667	0.002333333
JinBayL23	0.009666667	0.976666667	0.013666667
JinBayL24	0.003	0.993333333	0.003333333
JinBayL25	0.004	0.989333333	0.007333333
JinBayL26	0.010333333	0.928666667	0.061
JinBayL27	0.002	0.988333333	0.009333333
JinBayL28	0.113333333	0.875666667	0.011
JinBayL29	0.023	0.908666667	0.067666667
JinBayL30	0.004666667	0.982	0.014
JinBayL31	0.001333333	0.996333333	0.001666667
JinBayL32	0.002333333	0.995333333	0.002333333
JinBayL33	0.003333333	0.994333333	0.002333333
JinBayL34	0.001	0.998	0.001333333
JinBayL35	0.002333333	0.995333333	0.001666667
JinBayL36	0.002	0.996333333	0.001666667
JinBayL37	0.001333333	0.997	0.001666667
JinBayL38	0.008333333	0.987666667	0.004333333
JinBayL39	0.990333333	0.007	0.003333333
PO1	0.003333333	0.963666667	0.033
PO2	0.002666667	0.990666667	0.007
PO3	0.002	0.997	0.001666667
PO4	0.002	0.995666667	0.002333333
PO5	0.005666667	0.989666667	0.004333333
PO6	0.001333333	0.996	0.001666667
PO7	0.937	0.032333333	0.030666667
PO8	0.004333333	0.993333333	0.002333333
PO9	0.005	0.991666667	0.002333333
PO10	0.002333333	0.995	0.002666667
PO11	0.005	0.991	0.004
PO12	0.004333333	0.99	0.006
PO13	0.005	0.991666667	0.004
