Sample	Cluster1	Cluster2	Cluster3
JB021108_06	0.002	0.997	0.001
JB021108_07	0.037	0.957	0.007
JB021108_08	0.002	0.997	0.001
JB021108_09	0.007	0.915	0.078
JB021108_12	0.004	0.992	0.004
JB021108_13	0.03	0.932	0.039
JB021108_16	0.016	0.972	0.012
JB021108_17	0.001	0.998	0.001
JB021108_19	0.118	0.875	0.008
JB021108_22	0.029	0.73	0.241
JB021108_26	0.007	0.98	0.013
JB021108_29	0.005	0.993	0.002
JB021108_30	0.014	0.902	0.084
JB021108_34	0.007	0.99	0.003
JB021108_35	0.13	0.867	0.003
JB021108_36	0.007	0.988	0.004
JB021108_37	0.019	0.908	0.073
JB021108_38	0.002	0.996	0.001
JB021108_39	0.006	0.981	0.013
JB021108_41	0.003	0.994	0.003
JB021108_44	0.003	0.995	0.002
JB021108_45	0.015	0.912	0.073
JB021108_46	0.002	0.992	0.006
JB021108_47	0.108	0.881	0.011
JB021108_48	0.044	0.907	0.049
JB021108_24	0.004	0.994	0.003
JB021108_33	0.003	0.996	0.001
JB021108_40	0.001	0.999	0
JB021108_14	0.004	0.995	0.001
JB021108_25	0.003	0.995	0.002
JB021108_31	0.002	0.998	0
JB021108_23	0.007	0.989	0.003
JB021108_11	0.006	0.99	0.003
PO010715_02	0.004	0.959	0.037
PO010715_04	0.005	0.988	0.008
PO010715_06	0.003	0.997	0
PO010715_08	0.004	0.994	0.002
PO010715_10	0.001	0.997	0.001
PO010715_11	0.964	0.027	0.009
PO010715_12	0.003	0.996	0.001
PO010715_17	0.007	0.991	0.002
PO010715_19	0.009	0.99	0.001
PO010715_27	0.008	0.99	0.003
PO010715_28	0.008	0.989	0.003
PO010715_29	0.003	0.997	0
PO020515_01	0.006	0.992	0.002
PO020515_03	0.003	0.996	0.001
PO020515_05	0.003	0.996	0.001
PO020515_06	0.851	0.141	0.008
PO020515_08	0.001	0.998	0
PO020515_09	0.007	0.991	0.002
PO020515_10	0.01	0.988	0.002
PO020515_14	0.01	0.987	0.004
PO020515_15	0.011	0.981	0.008
PO020515_16	0.01	0.986	0.004
PO020515_17	0.019	0.98	0.002
PO031715_03	0.03	0.968	0.002
PO031715_04	0.021	0.975	0.004
PO031715_13	0.024	0.913	0.063
PO031715_20	0.015	0.955	0.031
PO031715_23	0.029	0.96	0.011
PO031715_24	0.001	0.998	0
PO010715_26	0.007	0.989	0.004
PO010715_07	0.002	0.996	0.002
JUK07_01	0.938	0.011	0.052
JUK07_02	0.004	0.002	0.994
JUK07_03	0.006	0.003	0.99
JUK07_06	0.012	0.001	0.986
JUK07_09	0.004	0.002	0.994
JUK07_14	0.003	0.005	0.992
JUK07_15	0.004	0.004	0.991
JUK07_16	0.012	0.009	0.979
JUK07_17	0.004	0.003	0.992
JUK07_18	0.014	0.033	0.953
JUK07_19	0.032	0.104	0.864
JUK07_20	0.003	0.005	0.993
JUK07_22	0.024	0.057	0.919
JUK07_25	0.008	0.001	0.991
JUK07_26	0.003	0.009	0.988
JUK07_27	0.026	0.002	0.972
JUK07_28	0.013	0.01	0.977
JUK07_29	0.002	0	0.998
JUK07_30	0.007	0.044	0.949
JUK07_32	0.011	0.001	0.988
JUK07_36	0.01	0.006	0.984
JUK07_37	0.003	0.003	0.993
JUK07_10	0.004	0.003	0.994
JUK07_13	0.986	0.008	0.006
JUK07_21	0.002	0.008	0.99
JUK07_23	0.004	0.001	0.996
JUK07_34	0.028	0.183	0.788
JUK07_04	0.007	0.016	0.977
JUK07_12	0.004	0.051	0.945
JUK07_31	0.002	0.996	0.002
JUK07_11	0.021	0.134	0.845
JUK07_08	0.007	0.042	0.951
JUK07_33	0.981	0.002	0.016
