"LocusName","variable","log_bf","evidence"
10123,"Mean_SST",2.32945890005972,"Decisive"
10203,"Mean_SST",3.66007772377501,"Decisive"
10203,"MinTemp_MaxDepth",2.22701209599108,"Decisive"
10376,"Mean_SST",2.92754999854094,"Decisive"
10376,"MinTemp_MaxDepth",2.10663278892012,"Decisive"
10452,"MeanTemp_MaxDepth",2.805643560597,"Decisive"
10801,"MinTemp_MaxDepth",2.83557009353988,"Decisive"
1104,"MinTemp_MaxDepth",2.15271631110641,"Decisive"
11138,"Mean_SST",3.30436125422531,"Decisive"
11138,"MinTemp_MaxDepth",2.93656400513527,"Decisive"
11320,"Mean_SST",2.8604398292018,"Decisive"
11320,"MeanTemp_MaxDepth",2.06096211309383,"Decisive"
11560,"Mean_SST",2.2418949716307,"Decisive"
1185,"Mean_SST",2.57448269928516,"Decisive"
12640,"MinTemp_MaxDepth",2.3007910679878,"Decisive"
12796,"MinTemp_MaxDepth",2.08087891034182,"Decisive"
12981,"Mean_SST",2.91807229557743,"Decisive"
13564,"Mean_SST",2.35903822837938,"Decisive"
13564,"MeanTemp_MaxDepth",2.29989935954633,"Decisive"
14316,"Mean_SST",2.34151365987025,"Decisive"
14316,"MinTemp_MaxDepth",2.92662536625906,"Decisive"
14515,"Mean_SST",2.22398888257009,"Decisive"
14546,"Mean_SST",4.03092339962722,"Decisive"
14546,"MeanTemp_MaxDepth",3.39911968602793,"Decisive"
14546,"MinTemp_MaxDepth",4.06254438134646,"Decisive"
14590,"Mean_SST",2.22873390837614,"Decisive"
14635,"MinTemp_MaxDepth",2.21319889172361,"Decisive"
14899,"Mean_SST",2.34062255536111,"Decisive"
14980,"MinTemp_MaxDepth",2.03754601208583,"Decisive"
1506,"Max_SST",2.08411135194068,"Decisive"
15584,"Mean_SST",2.70201672556915,"Decisive"
15585,"Mean_SST",2.25546548199246,"Decisive"
15585,"MinTemp_MaxDepth",2.03088295310967,"Decisive"
15983,"Mean_SST",2.3388348422911,"Decisive"
16006,"Mean_SST",2.1647691030092,"Decisive"
16013,"Mean_SST",2.07007482626753,"Decisive"
16208,"Mean_SST",2.00354669310213,"Decisive"
16208,"MinTemp_MaxDepth",2.02271698005103,"Decisive"
16378,"Mean_SST",2.40756084948636,"Decisive"
16409,"MinTemp_MaxDepth",2.04446136081066,"Decisive"
16976,"Mean_SST",2.58860780474269,"Decisive"
17767,"Max_SST",2.35358928157948,"Decisive"
18456,"Mean_SST",4.85854321268701,"Decisive"
18456,"MinTemp_MaxDepth",2.67427311393134,"Decisive"
18626,"MinTemp_MaxDepth",3.06528087110275,"Decisive"
18636,"Mean_SST",3.17868923977559,"Decisive"
1904,"Mean_SST",2.49341622286713,"Decisive"
19147,"Mean_SST",2.67170034281655,"Decisive"
19147,"MeanTemp_MaxDepth",2.54299960757705,"Decisive"
19221,"Mean_SST",3.87441223223476,"Decisive"
19221,"MinTemp_MaxDepth",3.52577018572453,"Decisive"
19489,"Mean_SST",2.52357739713225,"Decisive"
19489,"MinTemp_MaxDepth",2.04551856288449,"Decisive"
19742,"Mean_SST",2.74896286125616,"Decisive"
19742,"MinTemp_MaxDepth",2.16852694619269,"Decisive"
19836,"MinTemp_MaxDepth",2.81968867624706,"Decisive"
19944,"Mean_SST",3.6692796803021,"Decisive"
19944,"MinTemp_MaxDepth",2.99650291612878,"Decisive"
20119,"Mean_SST",2.23111262905635,"Decisive"
20428,"Mean_SST",2.24457397281744,"Decisive"
2098,"Mean_SST",2.94823197203483,"Decisive"
2101,"Mean_SST",2.54345960606937,"Decisive"
21666,"Mean_SST",3.32010472484188,"Decisive"
21666,"MinTemp_MaxDepth",2.07158747051498,"Decisive"
21723,"Mean_SST",2.05994188806195,"Decisive"
22003,"MinTemp_MaxDepth",3.18035529644879,"Decisive"
22242,"Mean_SST",2.18656082885207,"Decisive"
22451,"Mean_SST",3.74189186924153,"Decisive"
22644,"Mean_SST",2.4208794988755,"Decisive"
22824,"MinTemp_MaxDepth",2.58164250733799,"Decisive"
22902,"Mean_SST",3.58364078094304,"Decisive"
22902,"MeanTemp_MaxDepth",2.32122548541718,"Decisive"
22902,"MinTemp_MaxDepth",2.13668886567226,"Decisive"
22980,"Mean_SST",2.98530519602363,"Decisive"
22980,"MinTemp_MaxDepth",2.39088214113199,"Decisive"
2360,"MinTemp_MaxDepth",2.57182524904083,"Decisive"
24117,"MinTemp_MaxDepth",2.69020494309077,"Decisive"
24213,"Mean_SST",2.0731682622651,"Decisive"
2580,"Max_SST",2.00595228688738,"Decisive"
2606,"Mean_SST",2.96564846980059,"Decisive"
2606,"MeanTemp_MaxDepth",2.95005801335605,"Decisive"
2606,"MinTemp_MaxDepth",3.22346998116192,"Decisive"
3133,"Mean_SST",2.89386158839602,"Decisive"
3156,"Mean_SST",2.65441721491371,"Decisive"
3156,"MinTemp_MaxDepth",2.25940272814259,"Decisive"
3313,"Mean_SST",2.985489345672,"Decisive"
3313,"MinTemp_MaxDepth",2.57353299098851,"Decisive"
3405,"Mean_SST",2.11287300184046,"Decisive"
3405,"MinTemp_MaxDepth",2.40952736701224,"Decisive"
3699,"Mean_SST",2.97098807972419,"Decisive"
3699,"MinTemp_MaxDepth",2.40122816749811,"Decisive"
4199,"MinTemp_MaxDepth",2.4569123537458,"Decisive"
4462,"Mean_SST",2.36216191349691,"Decisive"
4635,"Mean_SST",2.2965116246613,"Decisive"
4635,"MinTemp_MaxDepth",2.20376697496057,"Decisive"
4752,"MinTemp_MaxDepth",3.76101019269572,"Decisive"
