"LocusName","variable","log_bf","evidence"
5365,"Mean_SST",2.16743549404204,"Decisive"
5365,"MinTemp_MaxDepth",2.02226336568126,"Decisive"
5400,"Mean_SST",2.85626354136698,"Decisive"
5400,"MinTemp_MaxDepth",2.08763946831264,"Decisive"
5721,"MeanTemp_MaxDepth",2.00539503188671,"Decisive"
5819,"Mean_SST",2.53459717054592,"Decisive"
6245,"Mean_SST",2.81141412626812,"Decisive"
6245,"MinTemp_MaxDepth",2.15222717183814,"Decisive"
6276,"MinTemp_MaxDepth",2.22765536192304,"Decisive"
6279,"Mean_SST",2.05857784913323,"Decisive"
6279,"MinTemp_MaxDepth",2.58275631667942,"Decisive"
6808,"Mean_SST",2.18602349311745,"Decisive"
6808,"MeanTemp_MaxDepth",5.03538970919868,"Decisive"
6808,"MinTemp_MaxDepth",2.17049640574485,"Decisive"
7121,"MinTemp_MaxDepth",2.68459404420068,"Decisive"
74,"Mean_SST",3.80585413091603,"Decisive"
74,"MinTemp_MaxDepth",2.59912949606509,"Decisive"
8063,"Mean_SST",2.03702787975578,"Decisive"
8245,"Mean_SST",2.34799314978741,"Decisive"
8918,"MinTemp_MaxDepth",2.1162091258034,"Decisive"
8946,"Mean_SST",2.62396218875473,"Decisive"
8946,"MinTemp_MaxDepth",2.19537375481741,"Decisive"
9203,"Mean_SST",2.26923266380683,"Decisive"
9203,"MinTemp_MaxDepth",2.00112770027703,"Decisive"
959,"Mean_SST",2.23347839193189,"Decisive"
9693,"Mean_SST",2.09805503966924,"Decisive"
9693,"MinTemp_MaxDepth",2.96889836496046,"Decisive"
9837,"Mean_SST",2.08582553352074,"Decisive"
