locus_id
10203
14546
17767
18723
1904
19221
2606
2694
3405
3699
10123
11114
11320
11368
11536
11591
11833
1185
12640
12688
12796
13486
14078
14223
14316
14845
15298
15585
15815
15946
16013
16378
16516
16557
16976
17724
18456
18636
18851
19147
19489
19821
19944
20428
2045
2049
20546
20896
20970
2098
21666
21890
21922
22644
22902
22969
23057
2333
23543
2360
23844
24117
24927
25028
2705
2766
2873
3133
3156
3179
3313
3363
3548
4036
4359
453
4635
5400
5808
5891
6279
6562
7121
7138
7216
7310
74
8245
8264
8290
8417
8759
8946
9040
9203
9347
9410
9465
9470
9663
9860
10376
10452
10801
1104
11138
11560
12981
13564
14515
14590
14635
14899
14980
1506
15584
15983
16006
16208
16409
18626
19742
19836
20119
2101
21723
22003
22242
22451
22824
22980
24213
2580
4199
4462
4752
5365
5721
5819
6245
6276
6808
8063
8918
959
9693
9837
