# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang15	268	33.4388	1.4798	0.0085	0.9379	0.0135	0.0008	0.0861	0.0238	0.0011	0.9139	0.0238	0.0011	0.0895	0.0220	0.0010	0.9105	0.0220	0.0010	0.0908	0.0227	0.0011	0.0212	28.6528	0.0085
Geoje15	790	36.3012	2.0006	0.0099	0.9374	0.0135	0.0008	0.0867	0.0236	0.0011	0.9133	0.0236	0.0011	0.0902	0.0219	0.0010	0.9098	0.0219	0.0010	0.0915	0.0225	0.0010	0.0234	27.1752	0.0099
Namhae15	147	18.7229	0.4633	0.0048	0.9374	0.0136	0.0008	0.0876	0.0253	0.0011	0.9124	0.0253	0.0011	0.0900	0.0221	0.0010	0.9100	0.0221	0.0010	0.0925	0.0234	0.0011	0.0197	30.1761	0.0048
YellowSea16	550	28.6975	2.1724	0.0103	0.9361	0.0134	0.0008	0.0868	0.0227	0.0011	0.9132	0.0227	0.0011	0.0927	0.0219	0.0010	0.9073	0.0219	0.0010	0.0944	0.0227	0.0011	0.0321	27.2021	0.0103
Jukbyeon07	3541	34.9295	3.1422	0.0125	0.9332	0.0126	0.0008	0.0867	0.0185	0.0010	0.9133	0.0185	0.0010	0.0996	0.0204	0.0010	0.9004	0.0204	0.0010	0.1011	0.0210	0.0010	0.0697	18.4140	0.0125
JinhaeBay07	511	46.7157	4.8581	0.0205	0.9382	0.0133	0.0011	0.0815	0.0211	0.0014	0.9185	0.0211	0.0014	0.0893	0.0217	0.0014	0.9107	0.0217	0.0014	0.0902	0.0222	0.0014	0.0382	26.8064	0.0205
JinhaeBay08	21	49.6085	6.8765	0.0223	0.9381	0.0135	0.0010	0.0826	0.0220	0.0013	0.9174	0.0220	0.0013	0.0892	0.0220	0.0013	0.9108	0.0220	0.0013	0.0901	0.0225	0.0013	0.0342	28.7530	0.0223
Boryeong07	380	23.0769	1.1323	0.0074	0.9362	0.0137	0.0008	0.0878	0.0237	0.0011	0.9122	0.0237	0.0011	0.0922	0.0221	0.0010	0.9078	0.0221	0.0010	0.0943	0.0230	0.0011	0.0269	28.1730	0.0074
Geoje14	3284	33.1913	2.4658	0.0111	0.9375	0.0130	0.0008	0.0813	0.0198	0.0010	0.9187	0.0198	0.0010	0.0912	0.0211	0.0010	0.9088	0.0211	0.0010	0.0926	0.0217	0.0010	0.0470	22.6663	0.0111
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang15	268	3151200.0000	20506.0000	8599.0000	0.2729	33.4993	1.3543	0.0007	0.9996	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0001	48.8684	0.0007
Geoje15	790	3163401.0000	20571.0000	9250.0000	0.2924	36.3721	1.8804	0.0008	0.9996	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.8590	0.0008
Namhae15	147	3142520.0000	20435.0000	7935.0000	0.2525	18.7454	0.4341	0.0004	0.9996	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0001	48.8783	0.0004
YellowSea16	550	3150609.0000	20512.0000	9242.0000	0.2933	28.7757	2.0831	0.0008	0.9996	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.8594	0.0008
Jukbyeon07	3541	3086429.0000	20129.0000	12732.0000	0.4125	35.0041	3.0902	0.0010	0.9996	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0002	0.0000	0.0005	48.8046	0.0010
JinhaeBay07	511	1793668.0000	11519.0000	5292.0000	0.2950	46.8007	4.9177	0.0017	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.8591	0.0017
JinhaeBay08	21	2155306.0000	13833.0000	5802.0000	0.2692	49.6898	6.9503	0.0018	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.8713	0.0018
Boryeong07	380	3131305.0000	20403.0000	8775.0000	0.2802	23.1098	1.0917	0.0006	0.9996	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.8654	0.0006
Geoje14	3284	3100017.0000	20154.0000	10970.0000	0.3539	33.2838	2.4051	0.0009	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0003	48.8311	0.0009
