*sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
JB121807_05	JB121807_05_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_05_2.fq.gz					
JB121807_06	JB121807_06_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_06_PE.1.fq.gz					
JB121807_08	JB121807_08	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_08.fq.gz					
JB121807_11	JB121807_11_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_11_PE.1.fq.gz					
JB121807_12	JB121807_12_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_12_PE.1.fq.gz					
JB121807_14	JB121807_14_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_14_PE.1.fq.gz					
JB121807_16	JB121807_16_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_16_2.fq.gz					
JB121807_18	JB121807_18	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_18.fq.gz					
JB121807_19	JB121807_19_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_19_PE.1.fq.gz					
JB121807_20	JB121807_20_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_20_PE.1.fq.gz					
JB121807_21	JB121807_21_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_21_PE.1.fq.gz					
JB121807_22	JB121807_22	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_22.fq.gz					
JB121807_23	JB121807_23_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_23_2.fq.gz					
JB121807_24	JB121807_24_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_24_PE.1.fq.gz					
JB121807_25	JB121807_25	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_25.fq.gz					
JB121807_26	JB121807_26	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_26.fq.gz					
JB121807_27	JB121807_27_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_27_2.fq.gz					
JB121807_28	JB121807_28_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_28_PE.1.fq.gz					
JB121807_29	JB121807_29	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_29.fq.gz					
JB121807_30	JB121807_30_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_30_2.fq.gz					
JB121807_31	JB121807_31_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_31_PE.1.fq.gz					
JB121807_32	JB121807_32_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_32_PE.1.fq.gz					
JB121807_33	JB121807_33_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_33_PE.1.fq.gz					
JB121807_34	JB121807_34_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_34_PE.1.fq.gz					
JB121807_35	JB121807_35_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_35_2.fq.gz					
JB121807_37	JB121807_37	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_37.fq.gz					
JB121807_38	JB121807_38_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_38_PE.1.fq.gz					
JB121807_39	JB121807_39	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_39.fq.gz					
JB121807_42	JB121807_42	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_42.fq.gz					
JB121807_43	JB121807_43	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_43.fq.gz					
JB121807_44	JB121807_44	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_44.fq.gz					
JB121807_46	JB121807_46	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_46.fq.gz					
JUK07_01	JUK07_01	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_01.fq.gz					
JUK07_02	JUK07_02_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_02_PE.1.fq.gz					
JUK07_03	JUK07_03	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_03.fq.gz					
JUK07_04	JUK07_04	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_04.fq.gz					
JUK07_06	JUK07_06_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_06_PE.1.fq.gz					
JUK07_08	JUK07_08	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_08.fq.gz					
JUK07_09	JUK07_09_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_09_PE.1.fq.gz					
JUK07_10	JUK07_10	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_10.fq.gz					
JUK07_11	JUK07_11	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_11.fq.gz					
JUK07_13	JUK07_13	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_13.fq.gz					
JUK07_14	JUK07_14	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_14.fq.gz					
JUK07_15	JUK07_15	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_15.fq.gz					
JUK07_16	JUK07_16_2_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_16_2_PE.1.fq.gz					
JUK07_17	JUK07_17	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_17.fq.gz					
JUK07_18	JUK07_18	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_18.fq.gz					
JUK07_19	JUK07_19	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_19.fq.gz					
JUK07_20	JUK07_20	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_20.fq.gz					
JUK07_21	JUK07_21	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_21.fq.gz					
JUK07_22	JUK07_22	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_22.fq.gz					
JUK07_23	JUK07_23	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_23.fq.gz					
JUK07_25	JUK07_25	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_25.fq.gz					
JUK07_26	JUK07_26	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_26.fq.gz					
JUK07_27	JUK07_27	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_27.fq.gz					
JUK07_28	JUK07_28	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_28.fq.gz					
JUK07_29	JUK07_29_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_29_PE.1.fq.gz					
JUK07_30	JUK07_30	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_30.fq.gz					
JUK07_31	JUK07_31	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_31.fq.gz					
JUK07_32	JUK07_32	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_32.fq.gz					
JUK07_33	JUK07_33	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_33.fq.gz					
JUK07_34	JUK07_34	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_34.fq.gz					
JUK07_36	JUK07_36_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_36_PE.1.fq.gz					
JUK07_37	JUK07_37_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JUK07_37_PE.1.fq.gz					
NA021015_02	NA021015_02_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_02_PE.1.fq.gz					
NA021015_08	NA021015_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_08_PE.1.fq.gz					
NA021015_14	NA021015_14_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_14_PE.1.fq.gz					
NA021015_16	NA021015_16_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_16_PE.1.fq.gz					
NA021015_17	NA021015_17_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_17_PE.1.fq.gz					
NA021015_21	NA021015_21_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_21_PE.1.fq.gz					
NA021015_22	NA021015_22_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_22_PE.1.fq.gz					
NA021015_23	NA021015_23	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_23.fq.gz					
NA021015_25	NA021015_25	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_25.fq.gz					
NA021015_26	NA021015_26	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_26.fq.gz					
NA021015_30	NA021015_30	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	NA021015_30.fq.gz					
PO010715_02	PO010715_02	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_02.fq.gz					
PO010715_04	PO010715_04	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_04.fq.gz					
PO010715_06	PO010715_06_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_06_PE.1.fq.gz					
PO010715_07	PO010715_07	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_07.fq.gz					
PO010715_08	PO010715_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_08_PE.1.fq.gz					
PO010715_10	PO010715_10_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_10_PE.1.fq.gz					
PO010715_11	PO010715_11_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_11_PE.1.fq.gz					
PO010715_12	PO010715_12	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_12.fq.gz					
PO010715_17	PO010715_17_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_17_PE.1.fq.gz					
PO010715_19	PO010715_19_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_19_PE.1.fq.gz					
PO010715_26	PO010715_26_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_26_2.fq.gz					
PO010715_27	PO010715_27_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_27_PE.1.fq.gz					
PO010715_28	PO010715_28_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_28_PE.1.fq.gz					
PO010715_29	PO010715_29_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO010715_29_PE.1.fq.gz					
PO020515_01	PO020515_01	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_01.fq.gz					
PO020515_03	PO020515_03_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_03_PE.1.fq.gz					
PO020515_05	PO020515_05_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_05_PE.1.fq.gz					
PO020515_06	PO020515_06	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_06.fq.gz					
PO020515_08	PO020515_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_08_PE.1.fq.gz					
PO020515_09	PO020515_09_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_09_PE.1.fq.gz					
PO020515_10	PO020515_10_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_10_PE.1.fq.gz					
PO020515_14	PO020515_14_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_14_PE.1.fq.gz					
PO020515_15	PO020515_15_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_15_PE.1.fq.gz					
PO020515_16	PO020515_16_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_16_PE.1.fq.gz					
PO020515_17	PO020515_17_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO020515_17_PE.1.fq.gz					
PO031715_03	PO031715_03	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO031715_03.fq.gz					
PO031715_04	PO031715_04	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO031715_04.fq.gz					
PO031715_13	PO031715_13_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO031715_13_PE.1.fq.gz					
PO031715_20	PO031715_20_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO031715_20_PE.1.fq.gz					
PO031715_23	PO031715_23	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO031715_23.fq.gz					
PO031715_24	PO031715_24	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	PO031715_24.fq.gz					
YS121315_01	YS121315_01	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_01.fq.gz					
YS121315_03	YS121315_03	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_03.fq.gz					
YS121315_04	YS121315_04	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_04.fq.gz					
YS121315_05	YS121315_05	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_05.fq.gz					
YS121315_07	YS121315_07	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_07.fq.gz					
YS121315_08	YS121315_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_08_PE.1.fq.gz					
YS121315_10	YS121315_10_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_10_PE.1.fq.gz					
YS121315_12	YS121315_12_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_12_300.fq.gz					
YS121315_13	YS121315_13	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	YS121315_13.fq.gz					
