SampleID	IndID	PopID
82	NA021015_21.1	South
83	NA021015_22.1	South
84	NA021015_23	South
85	NA021015_25	South
86	NA021015_26	South
87	NA021015_30	South
1	PO010715_02	South
2	PO010715_02_rep	South
3	PO010715_04	South
4	PO010715_06.1	South
33	PO010715_07	South
34	PO010715_07_rep	South
5	PO010715_08.1	South
6	PO010715_10.1	South
7	PO010715_11.1	South
8	PO010715_12	South
9	PO010715_17.1	South
10	PO010715_19.1	South
11	PO010715_26	South
32	PO010715_26_2	South
12	PO010715_27.1	South
13	PO010715_28.1	South
14	PO010715_29.1	South
15	PO020515_01	South
16	PO020515_03.1	South
17	PO020515_05.1	South
18	PO020515_06	South
19	PO020515_08.1	South
20	PO020515_09.1	South
21	PO020515_10.1	South
22	PO020515_14.1	South
23	PO020515_15.1	South
24	PO020515_16.1	South
25	PO020515_17.1	South
26	PO031715_03	South
27	PO031715_04	South
28	PO031715_13.1	South
29	PO031715_20.1	South
30	PO031715_23	South
31	PO031715_24	South
107	YS121315_08.1	West
108	YS121315_10.1	West
109	YS121315_12	West
110	YS121315_12_300	West
111	YS121315_14.1	West
119	YS121315_14_2	West
112	YS121315_15	West
113	YS121315_16	West
114	YS121316_30	West
91	YS_121316_01	West
92	YS_121316_03	West
115	YS_121316_04	West
93	YS_121316_05	West
120	YS_121316_07	West
94	YS_121316_13	West
95	YS_121316_17	West
96	YS_121316_18	West
116	YS_121316_19	West
97	YS_121316_20.1	West
118	YS_121316_20_2	West
98	YS_121316_21	West
117	YS_121316_21_2	West
99	YS_121316_22	West
100	YS_121316_23	West
101	YS_121316_24	West
102	YS_121316_25	West
103	YS_121316_26	West
104	YS_121316_27	West
105	YS_121316_28	West
106	YS_121316_29	West
